               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                 145,             0.03087,            0.013877,                   0,             0.81593,             0.76725,              0.8366,             0.46165,             0.03837,            0.027604,                   0,           0.0071488,           0.0071488,           0.0071488
                 146,            0.029837,            0.013233,                   0,             0.81236,             0.76607,             0.83673,             0.46576,            0.038244,            0.027767,                   0,            0.007129,            0.007129,            0.007129
                 147,            0.029426,            0.013257,                   0,               0.812,             0.76652,             0.83514,             0.46272,            0.038363,            0.027878,                   0,           0.0071092,           0.0071092,           0.0071092
                 148,            0.030698,            0.013363,                   0,             0.81368,             0.76635,             0.83467,             0.46303,            0.038397,            0.027932,                   0,           0.0070894,           0.0070894,           0.0070894
                 149,            0.030152,            0.013617,                   0,             0.81827,             0.76725,             0.83408,             0.46249,            0.038391,            0.027922,                   0,           0.0070696,           0.0070696,           0.0070696
                 150,            0.031156,            0.013635,                   0,             0.81437,             0.76725,              0.8338,             0.46269,            0.038336,            0.028019,                   0,           0.0070498,           0.0070498,           0.0070498
                 151,            0.031032,             0.01395,                   0,             0.81389,             0.77019,             0.83495,             0.46268,             0.03829,            0.027931,                   0,             0.00703,             0.00703,             0.00703
                 152,            0.030219,            0.013488,                   0,             0.81659,             0.76579,             0.83336,             0.46362,            0.038221,            0.028088,                   0,           0.0070102,           0.0070102,           0.0070102
                 153,            0.030649,            0.013384,                   0,              0.8131,             0.76979,             0.83195,             0.46326,            0.038202,            0.028026,                   0,           0.0069904,           0.0069904,           0.0069904
                 154,            0.029879,            0.013337,                   0,             0.81871,             0.76596,             0.83314,             0.46494,            0.038139,            0.028033,                   0,           0.0069706,           0.0069706,           0.0069706
                 155,            0.029974,            0.013256,                   0,             0.81942,             0.76294,             0.83341,             0.46511,            0.038126,            0.028081,                   0,           0.0069508,           0.0069508,           0.0069508
                 156,            0.029821,            0.013273,                   0,             0.82213,             0.76432,             0.83394,             0.46474,            0.038169,            0.027988,                   0,            0.006931,            0.006931,            0.006931
